Clause,Sub-Clause,Requirement Description,Current State (Implemented/Partial/Missing),Gap Identified (Yes/No),Action Required,Assigned To,Target Date,Status (Not Started/In Progress/Complete),Notes
4,4.1,Understanding the organization - Internal and external issues documented,"","","","","","",""
4,4.2,Interested parties - Identify stakeholders and their requirements,"","","","","","",""
4,4.3,QMS Scope - Define scope statement and exclusions,"","","","","","",""
4,4.4,Process approach - Create process flow diagram,"","","","","","",""
5,5.1,Leadership commitment - Management demonstrates commitment,"","","","","","",""
5,5.2,Quality policy - Written and communicated quality policy,"","","","","","",""
5,5.2.2,Communicate policy - Policy posted and discussed with employees,"","","","","","",""
5,5.3,Roles and responsibilities - Document who is responsible for what,"","","","","","",""
6,6.1,Risks and opportunities - Risk register with 5-10 identified risks,"","","","","","",""
6,6.1.2,Plan actions - Mitigation plans documented for each risk,"","","","","","",""
6,6.2,Quality objectives - Measurable quality goals established,"","","","","","",""
6,6.3,Change management - Process for handling major changes,"","","","","","",""
7,7.1.1,Resources - Adequate staff and equipment confirmed,"","","","","","",""
7,7.1.2,People - Employees are competent with right skills,"","","","","","",""
7,7.1.3,Infrastructure - Buildings and equipment maintained,"","","","","","",""
7,7.1.5,Monitoring resources - Measuring equipment calibrated with records,"","","","","","",""
7,7.2,Competence - Training documented for each employee,"","","","","","",""
7,7.5,Documented information - Document control system implemented,"","","","","","",""
8,8.1,Operational planning - Production planning process documented,"","","","","","",""
8,8.2.1,Customer communication - Customer contact methods documented,"","","","","","",""
8,8.2.3,Review of requirements - Order review process before acceptance,"","","","","","",""
8,8.3,Design (if applicable) - Design process documented,"","","","","","",""
8,8.4,Externally provided - Supplier control system in place,"","","","","","",""
8,8.5,Production control - Work instructions and process parameters documented,"","","","","","",""
8,8.5.2,Identification - Products tagged/labeled through production,"","","","","","",""
8,8.5.3,Customer property - Customer materials/tooling protected,"","","","","","",""
8,8.6,Release of products - Inspection/testing process before shipment,"","","","","","",""
8,8.7,Nonconforming outputs - Defect disposition process documented,"","","","","","",""
9,9.1.1,Monitoring - Quality metrics tracked (defects/delivery/complaints),"","","","","","",""
9,9.1.2,Customer satisfaction - Customer satisfaction measured,"","","","","","",""
9,9.2,Internal audit - Annual internal audit conducted and documented,"","","","","","",""
9,9.3,Management review - Annual management review meeting held,"","","","","","",""
10,10.1,Continual improvement - Improvement activities documented,"","","","","","",""
10,10.2,Nonconformity - Defects documented when they occur,"","","","","","",""
10,10.2.1,Root cause - Root cause analysis conducted for defects,"","","","","","",""
10,10.2.2,Corrective action - Root causes fixed permanently,"","","","","","",""
